aeroporto;competencia;papel;rotulo;hora_inicio;duracao_min;intervalo_inicio;intervalo_min;quantidade;ordem;ativo
NAVEGANTES;2026-11;APAC;APAC 20h–04h (intervalo 22h);1200;480;1320;60;1;1;1
NAVEGANTES;2026-11;APAC;APAC 22h–06h (intervalo 03h);1320;480;180;60;2;2;1
NAVEGANTES;2026-11;APAC;APAC 03h–11h (intervalo 06h);180;480;360;60;1;3;1
NAVEGANTES;2026-11;APAC;APAC 03h–11h (intervalo 07h);180;480;420;60;4;4;1
NAVEGANTES;2026-11;APAC;APAC 03h–11h (intervalo 08h);180;480;480;60;4;5;1
NAVEGANTES;2026-11;APAC;APAC 05h–13h (intervalo 09h);300;480;540;60;1;6;1
NAVEGANTES;2026-11;APAC;APAC 06h–14h (intervalo 10h);360;480;600;60;3;7;1
NAVEGANTES;2026-11;APAC;APAC 10h–18h (intervalo 14h);600;480;840;60;1;8;1
NAVEGANTES;2026-11;APAC;APAC 10h–18h (intervalo 15h);600;480;900;60;1;9;1
NAVEGANTES;2026-11;APAC;APAC 11h–19h (intervalo 15h);660;480;900;60;3;10;1
NAVEGANTES;2026-11;APAC;APAC 11h–19h (intervalo 16h);660;480;960;60;1;11;1
NAVEGANTES;2026-11;APAC;APAC 12h–20h (intervalo 16h);720;480;960;60;1;12;1
NAVEGANTES;2026-11;APAC;APAC 12h–20h (intervalo 17h);720;480;1020;60;1;13;1
NAVEGANTES;2026-11;APAC;APAC 14h–22h (intervalo 16h);840;480;960;60;5;14;1
NAVEGANTES;2026-11;APAC;APAC 14h–22h (intervalo 17h);840;480;1020;60;2;15;1
NAVEGANTES;2026-11;APAC;APAC 15h–23h (intervalo 17h);900;480;1020;60;1;16;1
NAVEGANTES;2026-11;SUPERVISOR;Supervisor 03h–11h (intervalo 07h);180;480;420;60;1;17;1
NAVEGANTES;2026-11;SUPERVISOR;Supervisor 05h–13h (intervalo 08h);300;480;480;60;1;18;1
NAVEGANTES;2026-11;SUPERVISOR;Supervisor 12h–20h (intervalo 16h);720;480;960;60;1;19;1
NAVEGANTES;2026-11;SUPERVISOR;Supervisor 14h–22h (intervalo 19h);840;480;1140;60;1;20;1
