equip;nome_equip;envergadura_m;comprimento_m;ordem;ativo
B737;Boeing 737-700;35,79;33,63;10;1
B738;Boeing 737-800;35,79;39,47;20;1
B38M;Boeing 737-8 MAX;35,92;39,52;30;1
B763;Boeing 767-300F;47,57;54,94;35;1
A319;Airbus A319;35,80;33,84;40;1
A320;Airbus A320;35,80;37,57;50;1
A20N;Airbus A320neo;35,80;37,57;60;1
A321;Airbus A321;35,80;44,51;70;1
A21N;Airbus A321neo;35,80;44,51;80;1
E190;Embraer 190;28,72;36,24;90;1
E195;Embraer 195;28,72;38,65;100;1
E290;Embraer E190-E2;33,72;36,24;110;1
E295;Embraer E195-E2;35,10;41,5;120;1
AT42;ATR 42;24,57;22,67;130;1
AT72;ATR 72;27,05;27,17;140;1
C208;Cessna 208 Caravan;15,87;12,67;150;1
PC12;Pilatus PC-12;16,28;14,4;160;1
BE20;Beechcraft King Air 200;16,61;13,34;170;1
E50P;Embraer Phenom 100;12,30;12,82;180;1
E55P;Embraer Phenom 300;16,20;15,64;190;1
LJ45;Learjet 45;14,58;17,68;200;1
C130;Lockheed C-130 Hercules;40,41;29,79;210;1
K390;Embraer KC-390;35,05;35,2;220;1
AS50;Helicoptero AS350 Esquilo;10,69;12,94;230;1
H125;Helicoptero Airbus H125;10,69;12,94;240;1
R44;Helicoptero Robinson R44;10,06;11,66;250;1
