aeroporto;posicao;equip_a;vizinha;equip_b;tipo_regra;mensagem;ativo
NAVEGANTES;T4;E295;;;BLOQUEIO;A posição T4 não recebe Embraer E195-E2.;1
NAVEGANTES;T1;B38M;T2;B38M;BLOQUEIO;T1 e T2 não comportam dois 737 MAX ao mesmo tempo.;1
NAVEGANTES;T2;B38M;T3;B38M;BLOQUEIO;T2 e T3 não comportam dois 737 MAX ao mesmo tempo.;1
NAVEGANTES;T3;B38M;T4;B38M;BLOQUEIO;T3 e T4 não comportam dois 737 MAX ao mesmo tempo.;1
NAVEGANTES;T4;B38M;T5;B38M;BLOQUEIO;T4 e T5 não comportam dois 737 MAX ao mesmo tempo.;1
NAVEGANTES;T5;B38M;T6;B38M;BLOQUEIO;T5 e T6 não comportam dois 737 MAX ao mesmo tempo.;1
NAVEGANTES;T6;B38M;T7;B38M;BLOQUEIO;T6 e T7 não comportam dois 737 MAX ao mesmo tempo.;1
NAVEGANTES;6A;;A1,A2,A4,A5;;BLOQUEIO;Aeronave na 6A ocupa espaço das posições classe A vizinhas.;1
NAVEGANTES;6B;;A2,A3,A4,A5;;BLOQUEIO;Aeronave na 6B ocupa espaço das posições classe A vizinhas.;1
NAVEGANTES;7;;A6,A7,A9,A10;;BLOQUEIO;Aeronave na 7 ocupa espaço das posições classe A vizinhas.;1
NAVEGANTES;8;;A7,A8,A9,A10;;BLOQUEIO;Aeronave na 8 ocupa espaço das posições classe A vizinhas.;1
NAVEGANTES;T6C;;6A,6B;;BLOQUEIO;Cargueiro na T6C impede o uso da 6A e da 6B.;1
